SURVEY: FOUNDATION
SNTYPE: 1
SNID: Gaia16agf
RA: 98.5373495
DECL: -25.1846000
MWEBV: 0.0571 +- 0.0029
FILTERS: griz
REDSHIFT_HELIO: 0.0250655 +- 0.0000253
REDSHIFT_FINAL: 0.0255190 +- 0.0000253
SEARCH_PEAKMJD: 57457.23901
HOSTGAL_LOGMASS: 6.000 +- 0.100
VPEC: -107.122
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 32
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57448.28557      g    NULL    22702.465        392.923    16.610     0.019  2.70
OBS:  57452.25065      g    NULL    28996.998        459.382    16.344     0.017  1.84
OBS:  57457.23860      g    NULL    30423.767        481.000    16.292     0.017  2.02
OBS:  57462.23453      g    NULL    24418.098        414.119    16.531     0.018  2.30
OBS:  57475.26629      g    NULL    11202.797        220.167    17.377     0.021  1.81
OBS:  57490.24293      g    NULL     4160.377        212.477    18.452     0.055  4.45
OBS:  57498.24483      g    NULL     2859.626        297.624    18.859     0.112  2.59
OBS:  57448.28599      r    NULL    21076.513        351.890    16.691     0.018  2.65
OBS:  57452.25106      r    NULL    26917.208        414.644    16.425     0.017  1.61
OBS:  57457.23901      r    NULL    30683.915        470.709    16.283     0.017  2.30
OBS:  57462.23494      r    NULL    27420.985        431.980    16.405     0.017  2.10
OBS:  57475.26671      r    NULL    15978.063        266.271    16.991     0.018  1.69
OBS:  57490.24336      r    NULL    11521.807        244.779    17.346     0.023  3.21
OBS:  57498.24525      r    NULL     7652.629        249.960    17.790     0.035  2.35
OBS:  57448.28635      i    NULL    15584.147        276.689    17.018     0.019  1.92
OBS:  57452.25141      i    NULL    18674.777        309.673    16.822     0.018  1.55
OBS:  57457.23936      i    NULL    17772.337        297.389    16.876     0.018  1.75
OBS:  57462.23529      i    NULL    16530.295        300.317    16.954     0.020  2.06
OBS:  57475.26707      i    NULL     8985.158        182.583    17.616     0.022  1.58
OBS:  57490.24371      i    NULL    10619.676        255.796    17.435     0.026  2.92
OBS:  57498.24564      i    NULL     6218.133        215.412    18.016     0.037  2.13
OBS:  57443.31632      i    NULL     6402.833        116.798    17.984     0.020  1.86
OBS:  57443.32798      i    NULL     6113.322        112.303    18.034     0.020  1.77
OBS:  57443.33965      i    NULL     6228.897        114.504    18.014     0.020  1.77
OBS:  57443.35128      i    NULL     6361.998        116.400    17.991     0.020  1.80
OBS:  57448.28670      z    NULL    15088.841        349.273    17.053     0.025  2.06
OBS:  57452.25176      z    NULL    17457.101        326.068    16.895     0.020  1.46
OBS:  57457.23972      z    NULL    17749.791        337.115    16.877     0.021  1.77
OBS:  57462.23565      z    NULL    15206.684        339.221    17.045     0.024  2.03
OBS:  57475.26742      z    NULL    11436.968        247.112    17.354     0.023  1.50
OBS:  57490.24406      z    NULL    10261.908        349.570    17.472     0.037  2.85
OBS:  57498.24599      z    NULL     6519.247        231.796    17.965     0.038  1.68
END:
